"14020: First time registered vehicles, by type of registration, month and contents"

"type of registration";"month";"Private cars";"Vans and motorhomes";"Lorries"
"New vehicles";"2016M06";13708;3041;496
"New vehicles";"2016M07";11069;2292;275
"New vehicles";"2016M08";13257;3623;384
"New vehicles";"2016M09";13873;2880;484
"New vehicles";"2016M10";11961;2900;433
"New vehicles";"2016M11";13215;3439;434
"New vehicles";"2016M12";13622;5336;459
"New vehicles";"2017M01";13080;1897;456
"New vehicles";"2017M02";11802;2629;344
"New vehicles";"2017M03";13407;3612;495
"New vehicles";"2017M04";11356;2903;375
"New vehicles";"2017M05";14199;3446;512
"New vehicles";"2017M06";14243;3418;548
"New vehicles";"2017M07";11488;2608;268
"New vehicles";"2017M08";13437;3773;422
"New vehicles";"2017M09";13505;3035;419
"New vehicles";"2017M10";12492;3247;402
"New vehicles";"2017M11";13763;3146;424
"New vehicles";"2017M12";16092;3206;344
"New vehicles";"2018M01";9228;2773;545
"New vehicles";"2018M02";10202;2756;366
"New vehicles";"2018M03";14404;3221;393
"New vehicles";"2018M04";14067;3685;515
"New vehicles";"2018M05";13058;3388;478
"New vehicles";"2018M06";15861;3646;506
"New vehicles";"2018M07";9618;2421;319
"New vehicles";"2018M08";14540;3619;492
"New vehicles";"2018M09";10629;3075;484
"New vehicles";"2018M10";11678;3786;514
"New vehicles";"2018M11";12320;3238;480
"New vehicles";"2018M12";12478;3066;358
"New vehicles";"2019M01";8997;2725;526
"New vehicles";"2019M02";11106;2779;421
"New vehicles";"2019M03";18387;3570;499
"New vehicles";"2019M04";11270;3722;507
"New vehicles";"2019M05";13133;3818;498
"New vehicles";"2019M06";14151;3455;486
"New vehicles";"2019M07";8626;2615;365
"New vehicles";"2019M08";11905;4804;620
"New vehicles";"2019M09";11109;2718;513
"New vehicles";"2019M10";10431;2792;645
"New vehicles";"2019M11";10047;2556;516
"New vehicles";"2019M12";11264;2860;309
"New vehicles";"2020M01";9562;2739;539
"New vehicles";"2020M02";10350;2761;355
"New vehicles";"2020M03";12453;2795;415
"New vehicles";"2020M04";7424;2266;473
"New vehicles";"2020M05";8003;2369;416
"New vehicles";"2020M06";11456;2791;390
"New vehicles";"2020M07";9771;1980;203
"New vehicles";"2020M08";10810;3136;323
"New vehicles";"2020M09";15556;3173;367
"New vehicles";"2020M10";12954;2956;457
"New vehicles";"2020M11";12535;2802;380
"New vehicles";"2020M12";20581;3615;292
"New vehicles";"2021M01";10304;2383;468
"New vehicles";"2021M02";10689;2785;388
"New vehicles";"2021M03";15330;3476;406
"New vehicles";"2021M04";13168;3616;400
"New vehicles";"2021M05";14073;3076;401
"New vehicles";"2021M06";20396;3727;451
"New vehicles";"2021M07";10503;2061;285
"New vehicles";"2021M08";16429;3320;357
"New vehicles";"2021M09";18005;2828;381
"New vehicles";"2021M10";11581;2356;468
"New vehicles";"2021M11";15275;2316;384
"New vehicles";"2021M12";20565;3417;297
"New vehicles";"2022M01";7959;1524;439
"New vehicles";"2022M02";8150;2028;344
"New vehicles";"2022M03";16235;2631;396
"New vehicles";"2022M04";9722;2348;366
"New vehicles";"2022M05";11540;2360;369
"New vehicles";"2022M06";14902;2850;422
"New vehicles";"2022M07";7247;1659;237
"New vehicles";"2022M08";12363;3329;421
"New vehicles";"2022M09";14640;2857;427
"New vehicles";"2022M10";12558;2362;447
"New vehicles";"2022M11";19512;2470;488
"New vehicles";"2022M12";39499;3943;362
"New vehicles";"2023M01";1861;938;461
"New vehicles";"2023M02";7441;1976;414
"New vehicles";"2023M03";19373;2917;620
"New vehicles";"2023M04";8977;2254;449
"New vehicles";"2023M05";13344;2416;504
"New vehicles";"2023M06";15569;3268;519
"New vehicles";"2023M07";7527;1365;258
"New vehicles";"2023M08";11085;3118;652
"New vehicles";"2023M09";10347;2666;421
"New vehicles";"2023M10";8929;2587;515
"New vehicles";"2023M11";10351;2865;546
